,Pre-B,B,Pro-B,Early Lymphoid,HSC MPP,Early Erythroid,pDC,Cycling Progenitor,Megakaryocyte Precursor,CD4 Memory T,NK,CD8 Memory T,Plasma_Cell,EoBasoMast Precursor,Late GMP,Early GMP,cDC,LMPP,MEP,Pro-Monocyte,Naive T,Monocyte,Late Erythroid,Stromal
BA2971R,0.00210988471315607,0,0.00882375214569182,0,0,0,0,0,0.0388341892864904,0,0.0397516598552322,0,0,0,0,0,2.88899844080429e-05,0,0,0,0,0.770956819221631,0,0.13949480479339
BA3410R,0.0268629149908789,0,0,0,0,0,0,0,0.145835322799048,0,0.0246432769046918,0,0,0,0,0,0,0,0,0.00440141917879216,0,0.664768634484529,0,0.13348843164206
BA3118R,0.00227022987479846,0,0.0683495016395141,0,0,0,0,0,0.120284232520998,0,0.00618759178863229,0,0,0,0,0,0.129684397750089,0,0,0,0,0.562930953617065,0,0.110293092808903
BA3206R,0.0458207258575785,0,0.155208331355307,0,0,0,0,0,0.238493770546776,0,0.00354373781610927,0,6.29980796196652e-05,0,0,0,0,0,0,0,0,0.408784308151251,0,0.148086128193358
BA3202R,0.0573063340374742,0,0,0,0,0.000142819856549855,0,0,0.0730206869672962,0,0.0498251621768195,0,0,0,0,0,0,0,0,0.00412349033550732,0,0.600248545621545,0.0658032768353707,0.149529684169437
BA3217R,0.00421173669424796,0,0.408005840553727,0,0,0,0,0,0.197650323068802,0,0,0,0,0,0,0,0.132035880395635,0,0,0,0,0.0343179324492824,0,0.223778286838306
BA3405R,0,0,0,0,0,0,0,0,0.0507440515647685,0,0,0,0,0,0,0,0.045731745838849,0,0,0,0,0.795559455674871,0,0.107964746921512
BA3306R,0,0,0.198858798130687,0.00304817150902455,0,0,0,0,0.30020982057998,0,0,0,0,0,0,0,0,0,0.0519398737093852,0,0,0.103169639546774,0,0.342773696524149
BA3371R,0.116085609059068,0,0,0,0,0,0,0,0.255896822405636,0,0.0117065354979797,0,0.00505121235908463,0,0,0,0,0,0,0.00387225378673145,0,0.500428447181385,0,0.106959119710115
BA3413R,0.0110862895630144,0,0.123535970417379,0,0,0.000625957238657414,0,0,0.400983186077988,0,0,0,0,0,0,0,0.138926517836856,0,0,0,0,0.226968041888315,0.013324156205248,0.0845498807725419
BA3411R,0.0225516472774965,0,0.000352844430954132,0,0,0,0,0,0.134220370597714,0,0.000188171430847519,0,0,0,0,0,0,0,0,0.100905575980641,0,0.615171257560589,0,0.126610132721759
BA3133R,0.0120532724471097,0,0,0,0,0,0,0,0.454029960004989,0,0,0,0,0,0,0,0,0,0,0,0,0.398918137853518,0,0.134998629694384
BA3164R,0.0143248630048543,0,0.0192655617876083,0,0,0,0,0,0.761801129546956,0,0,0,0,0,0,0,0.043151716748377,0,0,0,0,5.63616990263954e-05,0,0.161400367213178
BA3451R,0,0,0,0,0,0,0,0,0.0432712684551697,0,0,0,0,0,0,0,0.00420040617446728,0,0,0,0,0.890926692483488,0,0.0616016328868755
BA3286R,0.0787882730064403,0,0.00987977089062635,0,0,0,0,0,0.176694636164605,0,0,0,0,0,0,0,0.157695743680943,0,0,0,0,0.371711054457004,0,0.205230521800382
BA3212R,0,0,0.00484951985306016,0,0,0,0,0,0.807612814519319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187537665627621
BA3103R,0,0,0.105327658292971,0,0,0,0,0,0.112373598599482,0,0,0,0,0,0,0,0.129812540980293,0,0,0,0,0.499977535149155,0,0.152508666978099
BA3271R,0.0409791961272379,0,0,0,0,0,0,0,0.212836011831465,0,0,0,0,0,0,0,0.143291725683624,0,0,0,0,0.399776615294638,0,0.203116451063036
BA3152R,0.00228148355843309,0,0,0,0,0,0,0,0.145212317424431,0,0,0,0,0,0,0,0,0,0,0.00479971754506079,0,0.765265479240955,0,0.0824410022311205
BA3095R,0,0,0.177221611101453,0,0,0,0,0,0.394448954273721,0,0,0,0,0,0,0,0.020178197511585,0,0,0,0,0.122966980886661,0,0.28518425622658
BA3192R,0.0650821407927642,0,0.307566355583296,0,0,0,0,0,0.437317444619842,0,0,0,0,0,0,0,0.000374687402059152,0,0,0,0,0.00869041750827908,0,0.18096895409376
BA3251R,0.0376770211013629,0,0.00303761198355801,0,0,0,0,0,0.226771614143172,0,0,0,0,0,0,0,0.0100959445253292,0,0,0,0,0.498323517845499,0,0.224094290401079
BA3362R,0,0,0,0,0,0,0,0,0.203853415027097,0,0,0,0,0,0,0,0.174979925940251,0,0,0,0,0.414554201806288,0,0.206612457226364
BA3400R,0.00176935053515798,0,0.16027805944454,0,0,0,0,0,0.304832283863225,0,0.0376778940155246,0,0,0,0,0,0,0,0.00100983108210001,0,0,0.15990382207035,0,0.334528758989103
BA3135R,0.00300706758762254,0,0.293634842125988,0,0,0,0,0.00181887182152719,0.212432210352998,0,0.0567854046986233,0,0,0,0,0,0,0,0,0,0,0.139025242900936,0,0.293296360512305
BA3408R,0.000173734655445439,0,0.0328100972763104,0,0,0,0,0,0.0535339309057187,0,0.346292841174589,0,0,0,0,0,0.00274996799226001,0,0,0.000243348500473129,0,0.33529515116264,0.00750309133586681,0.221397836996696
BA3187R,0.0579723408283969,0,0.000366544251124329,0,0,0,0,0,0.140856898409259,0,0,0,3.87966473294292e-05,0,0,0,0,0,0,0.0579147584474659,0,0.668986707478427,0,0.0738639539379981
BA3098R,0.00607230640857972,0,0.0341176825289966,0,0,0,0,0,0.250740555808269,0,0,0,0,0,0,0,0.0858618350906203,0,0,0,0,0.49519690645875,0,0.128010713704784
BA3435R,0.00128034053199519,0,0.457848371365793,0,0,0,0,0,0.234130947266612,0,0.0173202117762589,0,0,0,0,0,0.00225249147849676,0,0,0,0,0.0278606568975195,0,0.259306980683325
BA3261R,0.084494325535585,0,0.0390493263013091,0,0,0,0,0,0.154440632483536,0,0.0750738614069112,0,0,0,0,0,0,0,0,0,0,0.512320498356251,0,0.134621355916407
BA3203R,0.00604575948206264,0,0,0,0,0,0,0,0.0673245311636797,0,0,0,0,0,0,0,0,0,0,0.00492101919593693,0,0.670824184192662,0,0.250884505965659
BA3174R,0,0,0,0,0,0,0,0,0.0373647060631957,0,0.0105763385879722,0,0,0,0,0,0.00433586701188232,0,0,0,0,0.769502780086551,0,0.178220308250399
